MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow
38.5,69.1,344.7,6.8,49.3,1015.1,56.1,No
45.0,63.2,289.5,13.8,79.0,1000.8,53.5,Yes
41.0,57.6,285.2,16.1,50.2,1014.5,49.4,Yes
37.9,59.2,250.1,16.1,60.1,1018.1,49.8,No
37.8,66.5,234.3,11.6,57.5,1020.7,54.0,No
42.3,66.0,255.0,11.1,57.0,1021.7,55.2,No
41.3,69.4,331.7,5.7,62.7,1021.5,56.6,No
49.5,68.4,151.4,8.3,58.3,1016.1,59.9,No
43.8,77.1,306.6,10.9,53.6,1015.5,62.2,No
54.4,74.1,123.9,9.0,48.6,1014.2,65.1,No
47.4,80.5,119.3,13.7,37.9,1014.3,66.9,No
55.5,71.7,141.9,10.4,52.9,1011.1,64.3,No
50.5,71.6,291.8,13.6,65.3,1010.1,62.6,No
39.3,70.9,271.7,12.4,41.7,1012.6,56.8,No
43.6,74.7,287.5,11.5,44.9,1011.8,58.9,No
41.9,77.2,309.6,9.5,48.5,1013.1,60.1,No
46.6,68.9,256.5,13.6,50.5,1012.0,58.4,Yes
46.1,69.8,266.0,12.4,65.6,1009.6,57.2,No
50.9,72.6,236.4,8.2,57.5,1006.6,62.5,No
53.7,74.5,141.7,9.1,60.8,1008.0,64.4,No
63.3,74.4,235.3,12.2,68.1,1010.1,68.2,No
62.7,79.6,276.4,11.1,68.2,1012.7,70.8,No
50.5,73.9,95.8,21.8,79.8,1005.5,63.8,Yes
49.0,57.3,245.4,17.1,76.2,1001.1,53.0,Yes
47.4,55.5,262.3,17.2,79.8,998.1,51.4,Yes
44.6,69.7,230.0,21.5,58.4,1003.6,58.0,No
48.8,74.2,243.8,10.1,55.3,1005.0,62.7,No
46.9,73.6,324.5,10.4,53.0,1011.0,60.6,No
44.1,79.5,232.3,12.6,43.1,1011.9,64.8,No
60.1,73.5,246.9,18.6,57.3,1006.3,66.8,Yes
59.2,78.4,67.5,11.4,69.0,1004.0,67.2,Yes
51.3,79.6,319.9,6.9,63.8,1010.1,66.4,No
56.6,75.6,286.6,10.6,64.4,1011.7,66.3,No
58.4,65.0,77.0,12.4,89.7,1006.1,61.5,Yes
54.7,62.2,342.4,11.2,97.1,993.3,57.9,Yes
52.4,66.1,269.5,9.3,84.9,1004.1,58.8,Yes
47.3,68.8,296.2,11.6,49.5,1010.4,58.5,No
47.9,67.1,284.3,15.3,45.7,1009.2,58.7,No
43.0,69.3,279.2,11.0,45.0,1018.2,57.5,No
44.7,78.4,102.5,11.7,48.9,1019.8,62.3,No
57.4,69.4,256.0,13.6,68.8,1015.7,63.1,Yes
55.7,75.8,283.7,10.1,72.4,1015.2,65.7,No
55.4,80.7,309.4,11.3,69.4,1014.6,67.7,No
59.6,76.0,97.7,7.9,82.9,1012.6,67.7,Yes
64.0,71.8,140.4,10.2,91.2,1007.2,67.4,Yes
59.4,77.3,295.9,11.3,76.9,1003.9,70.0,Yes
54.5,70.2,279.1,15.2,57.5,1005.0,63.0,No
48.3,75.6,202.0,17.6,58.3,1006.1,64.7,No
58.1,72.0,235.4,11.7,83.7,1005.7,65.8,Yes
54.2,74.7,261.5,11.1,64.0,1008.5,64.6,No
53.5,75.4,275.8,11.2,53.2,1009.9,65.5,No
50.8,79.6,297.5,6.9,60.7,1008.7,67.3,No
55.2,80.1,287.3,9.2,67.8,1008.8,67.6,No
54.4,79.0,240.1,9.2,63.9,1009.6,68.5,No
59.4,78.0,282.6,10.8,62.9,1012.7,70.0,No
52.8,83.0,22.7,8.2,63.4,1014.6,70.3,No
58.1,81.1,20.5,7.1,65.2,1013.4,70.6,No
57.9,80.6,288.7,9.1,71.3,1012.4,70.9,No
61.4,79.2,280.4,8.8,69.9,1009.7,69.2,No
62.8,78.1,276.3,11.6,74.2,1005.5,69.5,No
61.4,79.9,253.9,10.2,76.2,1006.8,68.5,No
59.2,84.2,273.0,8.8,67.4,1008.3,70.9,No
58.5,84.2,284.4,12.6,75.2,1006.6,70.2,No
64.8,85.8,89.5,9.0,63.2,1005.2,75.2,No
61.3,88.3,102.3,6.9,55.5,1006.0,75.9,No
62.7,87.7,272.4,7.8,64.9,1007.3,75.8,No
64.5,89.5,277.9,12.9,63.9,1007.3,76.9,No
62.7,89.8,209.0,8.4,62.2,1005.7,78.1,No
67.0,80.1,68.6,13.3,59.3,1006.9,73.1,No
59.4,78.4,43.7,16.2,56.1,1010.0,68.1,No
53.7,79.9,293.5,10.6,56.9,1013.1,67.0,No
57.2,80.1,277.3,11.4,64.0,1013.0,69.0,No
59.6,77.8,353.2,6.5,67.8,1009.9,69.1,No
61.2,71.5,338.1,4.6,88.5,1007.0,66.7,Yes
63.1,78.5,284.1,10.9,73.2,1007.1,71.0,No
67.9,78.2,124.7,13.4,79.4,1004.2,73.4,Yes
70.1,79.6,253.7,18.4,84.8,1000.8,74.3,Yes
68.6,82.9,101.1,5.4,75.3,1007.1,74.7,No
65.5,85.5,185.0,8.8,76.4,1010.4,75.5,No
70.3,80.1,263.6,7.8,88.3,1008.6,74.5,Yes
72.0,76.4,210.9,12.2,96.7,999.6,73.5,Yes
71.0,75.7,233.5,11.7,98.2,1001.3,72.9,Yes
70.4,84.7,263.4,6.3,90.2,1008.5,76.7,No
73.9,83.2,232.2,9.2,93.2,1011.4,78.2,Yes
73.4,84.7,227.4,15.8,87.6,1008.5,79.0,No
72.5,80.3,217.5,12.1,95.4,1007.5,75.6,Yes
73.5,80.9,240.7,9.1,94.3,1009.3,76.8,Yes
74.8,80.0,266.7,9.2,94.4,1010.3,76.9,Yes
74.4,86.7,259.4,10.0,89.5,1009.0,78.8,Yes
77.3,89.7,229.2,12.5,77.8,1006.9,82.9,No
76.8,82.7,244.1,13.6,86.0,1007.2,79.2,Yes
74.2,86.3,303.3,6.9,83.2,1008.9,80.2,No
72.1,91.0,311.0,4.0,76.1,1009.0,82.2,No
78.1,93.4,235.6,13.9,70.6,1007.2,85.6,No
78.1,86.0,241.7,14.9,80.4,1007.5,82.4,No
78.3,89.8,267.1,10.0,82.1,1009.2,82.4,No
75.8,93.1,249.9,7.8,79.2,1008.3,83.2,Yes
76.2,92.7,88.0,7.5,71.2,1008.7,84.0,No
76.8,95.7,303.5,9.7,72.3,1008.8,85.7,No
77.4,91.7,290.3,12.1,75.5,1008.1,84.1,No
76.3,91.7,287.3,11.2,77.5,1007.5,83.1,No
77.5,93.6,293.4,9.8,79.3,1006.5,84.6,No
77.3,94.2,301.0,7.9,76.7,1005.0,86.3,No
79.1,98.8,43.5,7.1,67.5,1003.2,89.1,No
79.0,100.9,72.2,7.3,60.9,1002.4,89.2,No
77.4,96.5,78.5,10.5,62.0,1002.2,87.6,No
75.8,97.0,90.8,10.9,60.9,1002.6,87.1,No
79.9,94.1,81.3,10.5,62.2,1002.2,87.1,Yes
79.6,93.7,98.8,10.6,65.5,1000.2,87.2,No
82.2,93.2,111.4,8.9,70.7,1001.3,87.0,Yes
81.0,91.4,215.3,9.3,76.3,1003.6,85.6,Yes
80.2,92.8,251.9,9.1,78.5,1006.5,84.2,Yes
76.9,84.3,95.1,9.2,90.8,1004.1,79.5,Yes
